Date,Département,Marque,Modele,Annee,Km,Cabine,Boîte vitesse,Carburant,Puissance réelle (ch),Prix (TTC),Carrosserie,Coffre,Réhausse,Date installation benne,Mention benne JPM,Garantie (mois),Lien,S1 vendu,S2 vendu,S4 vendu,Modification Prix,Prix initial
13/01/2021,91,Volkswagen,Crafter,2012,218540,SC,Manuelle,Diesel,143,11988,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1863679710.htm,Non,Non,Oui,,
13/01/2021,17,Iveco,Daily,2014,165749,SC,Manuelle,Diesel,130,22700,Benne Neuve,Oui,Non,06/06/2018,NA,3,https://www.leboncoin.fr/utilitaires/1884926591.htm,Non,Oui,Non,,
13/01/2021,1,Iveco,Daily,2021,10,SC,Manuelle,Diesel,120,34788,Benne origine,Non,Non,NA,JPM,0,https://www.leboncoin.fr/utilitaires/1910380647.htm,Non,Non,Non,,
13/01/2021,51,Renault,Master,2017,35954,SC,Manuelle,Diesel,130,25440,Benne origine,Oui,Non,NA,NA,3,https://www.leboncoin.fr/utilitaires/1886912809.htm,Non,Oui,Oui,,
13/01/2020,31,Renault,Master,2018,20800,SC,Manuelle,Diesel,130,24900,Benne origine,Non,Non,NA,NA,12,https://www.leboncoin.fr/utilitaires/1910382560.htm,Non,Oui,Oui,,
13/01/2020,13,Iveco,Daily,2018,35600,SC,Manuelle,Diesel,140,28800,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1910308594.htm,Non,Non,Non,,
13/01/2020,6,Volkswagen,Crafter,2016,26000,SC,Manuelle,Diesel,140,25900,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1686522363.htm,Non,Non,Non,,
13/01/2020,23,Volkswagen,Crafter,2015,43000,SC,Manuelle,Diesel,136,24600,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1910273538.htm,Non,Oui,Oui,,
13/01/2020,38,Ford,Transit,2016,50500,SC,Manuelle,Diesel,155,23040,Benne origine,Non,Non,NA,NA,12,https://www.leboncoin.fr/utilitaires/1592056522.htm,Non,Non,Non,,
13/01/2020,44,Iveco,Daily,2016,56950,SC,Manuelle,Diesel,130,28788,Benne origine,Oui,Non,NA,JPM,12,https://www.leboncoin.fr/utilitaires/1889233392.htm,Non,Non,Oui,,
