Modele,Annee,Km,Puissance réelle (ch),Prix (TTC),Marque Benne
Crafter,2012,220000,143,12000,NA
Daily,2014,170000,130,23000,NA
Daily,2021,0,120,35000,JPM
Master,2017,40000,130,25000,NA
Master,2018,20000,130,25000,NA
Daily,2018,40000,140,29000,NA
Crafter,2016,30000,140,26000,NA
Crafter,2015,40000,136,25000,NA
Transit,2016,50000,155,23000,NA
Daily,2016,60000,130,29000,JPM
Sprinter,2015,110000,163,29000,NA
Daily,2016,90000,110,23000,NA
Master,2017,30000,130,24000,NA
Master,2013,120000,125,16000,NA
Daily,2017,30000,136,29000,JPM
Daily,2017,110000,130,24000,NA
Sprinter,2014,120000,130,23000,NA
Ducato,2017,30000,140,21000,NA
Daily,2018,30000,136,28000,JPM
Master,2020,0,145,34000,NA
Daily,2014,140000,126,19000,NA
Sprinter,2017,60000,143,29000,JPM
Master,2017,20000,130,20000,NA
Transit,2017,30000,170,26000,NA
Daily,2018,50000,126,31000,NA
Transit,2017,70000,170,25000,NA
Master,2017,20000,130,22000,NA
Transit,2013,110000,125,14000,NA
Sprinter,2017,70000,143,25000,NA
Sprinter,2017,80000,143,26000,NA
Daily,2011,120000,146,18000,NA
Daily,2016,70000,126,26000,JPM
Daily,2018,30000,110,27000,NA
Sprinter,2016,30000,143,25000,NA
Daily,2018,60000,180,30000,JPM
Canter,2014,100000,130,17000,NA
Daily,2018,40000,150,31000,JPM
Master,2017,50000,130,23000,NA
Master,2014,180000,165,18000,NA
Master,2015,110000,165,23000,NA
Jumper,2018,30000,130,22000,NA
Master,2015,140000,135,21000,NA
Ducato,2009,60000,120,12000,NA
Daily,2017,80000,136,25000,NA
Jumper,2013,110000,130,17000,NA
Ducato,2018,40000,130,24000,JPM
Master,2014,130000,125,18000,NA
Sprinter,2018,40000,163,33000,JPM
Boxer,2018,20000,130,25000,NA
Canter,2019,30000,130,30000,JPM
Cabstar,2018,60000,130,23000,Cabreta
Master,2018,70000,130,28000,NA
Master,2016,130000,130,17000,NA
Daily,2009,200000,126,13000,NA
Sprinter,2015,110000,163,29000,NA
Master,2017,50000,130,23000,NA
Daily,2017,60000,150,18000,NA
Daily,2015,30000,93,24000,NA
Ducato,2017,70000,150,22000,NA
Cabstar,2019,30000,130,29000,NA
Crafter,2020,10000,177,39000,NA
Jumper,2017,50000,131,15000,NA
Boxer,2012,70000,130,11000,NA
Master,2012,180000,125,15000,NA
Daily,2016,100000,126,20000,NA
Ducato,2017,60000,130,20000,NA
Ducato,2017,50000,130,21000,NA
Cabstar,2017,90000,130,22000,JPM
Master,2012,260000,150,13000,NA
Daily,2007,250000,120,10000,NA
