Département,Modele,Annee,Km,Puissance,JPM,Garantie (mois),Prix (TTC)
91,1,2012,218540,143,0,0,11988
17,2,2014,165749,130,0,3,22700
1,2,2021,10,120,1,0,34788
51,3,2017,35954,130,0,3,25440
31,3,2018,20800,130,0,12,24900
13,2,2018,35600,140,0,0,28800
6,1,2016,26000,140,0,0,25900
23,1,2015,43000,136,0,0,24600
38,4,2016,50500,155,0,12,23040
44,2,2016,56950,130,1,12,28788
14,5,2015,105000,163,0,0,28880
62,2,2016,85555,110,0,6,22900
62,3,2017,33000,130,0,12,23900
62,3,2013,124529,125,0,6,15900
49,2,2017,30000,136,1,12,29340
33,2,2017,107000,130,0,0,23900
38,5,2014,117500,130,0,12,23400
77,6,2017,32000,140,0,0,21480
21,2,2018,30250,136,1,6,27600
64,3,2020,1000,145,0,0,33588
85,2,2014,143900,126,0,6,19188
86,5,2017,55500,143,1,6,28788
57,3,2017,20000,130,0,6,19990
66,4,2017,33000,170,0,6,25992
60,2,2018,46000,126,0,0,30708
51,4,2017,67692,170,0,0,24600
28,3,2017,17600,130,0,12,21990
29,4,2013,107000,125,0,3,14000
91,5,2017,65200,143,0,6,25188
91,5,2017,77000,143,0,6,25788
14,2,2011,117000,146,0,0,17900
68,2,2016,72500,126,1,0,26280
28,2,2018,33000,110,0,0,27000
70,5,2016,33000,143,0,6,24990
44,2,2018,59500,180,1,0,29500
1,8,2014,102000,130,0,0,16800
35,2,2018,36500,150,1,6,30588
38,3,2017,50900,130,0,0,22990
22,3,2014,184430,165,0,3,17988
22,3,2015,114970,165,0,3,22788
22,9,2018,30210,130,0,3,22188
22,3,2015,138374,135,0,3,20988
67,6,2009,60000,120,0,0,11990
34,2,2017,80500,136,0,0,24990
77,9,2013,106658,130,0,3,16990
62,6,2018,40000,130,1,6,24000
50,3,2014,132089,125,0,12,17520
49,5,2018,44000,163,1,6,33120
35,11,2018,20328,130,0,12,24990
13,8,2019,34000,130,1,12,30000
13,12,2018,64766,130,1,0,23388
84,3,2018,69700,130,0,0,28200
78,3,2016,132000,130,0,0,16500
37,2,2009,201000,126,0,0,12500
14,5,2015,105000,163,0,0,28880
63,3,2017,47630,130,0,0,22990
61,2,2017,56800,150,0,0,18000
84,2,2015,34700,93,0,0,24000
73,6,2017,65006,150,0,6,21576
1,12,2019,32000,130,0,0,28788
49,1,2020,6000,177,0,24,39480
33,9,2017,50700,131,0,0,14850
59,11,2012,66000,130,0,0,10999
95,3,2012,180000,125,0,0,14900
31,2,2016,101272,126,0,0,20000
66,6,2017,64100,130,0,3,20388
66,6,2017,51400,130,0,3,21108
26,12,2017,91000,130,1,12,22200
83,3,2012,260000,150,0,0,12500
49,2,2007,247000,120,0,0,9500
31,2,2008,196000,126,0,0,7600
59,5,2007,199840,110,0,0,8500
38,3,2017,50900,130,0,0,22990
32,2,2012,153000,130,0,0,17880
47,9,2018,24500,130,1,6,25080
27,3,2015,152044,125,0,0,15960
64,8,2007,124144,125,0,0,16800
50,11,2018,18400,130,0,12,24980
32,6,2017,43941,130,0,12,25200
31,2,2011,154000,150,0,0,14400
13,5,2001,171000,130,0,0,14400
77,2,2010,230000,126,0,0,12500
31,4,2015,160000,155,0,0,15000
57,6,2015,74000,130,0,0,16900
35,5,2010,169000,136,1,0,8280
12,6,2015,111200,130,0,0,19560
64,3,2005,119216,120,0,0,16200
8,6,2007,85000,160,0,0,10000
78,2,2010,161000,180,0,0,16000
31,5,2017,85000,143,0,0,24000
59,11,2011,45966,130,1,0,16500
92,5,2005,145267,82,0,0,6900
22,2,2010,137549,90,0,0,12500
28,6,2016,94000,150,0,0,18500
77,2,2017,32500,140,1,0,27360
17,14,2017,53700,140,1,3,22320
94,6,2016,35000,130,0,0,17850
29,5,2016,57200,130,0,0,27480
49,2,2016,100000,130,1,6,25080
64,2,2019,28000,150,1,0,32400
41,8,2014,80000,130,1,0,20160
80,6,2017,23400,130,0,6,21540
94,9,2017,30000,130,0,0,18850
56,5,2016,90000,130,0,0,22900
30,3,2017,78246,130,0,6,21300
91,14,2014,36000,140,0,0,17999
10,11,2014,87300,130,1,0,16800
13,9,2017,55800,130,0,0,14400
83,5,2018,90000,190,0,0,27000
21,2,2017,48953,140,0,0,27000
31,12,2016,70600,130,0,0,19000
12,3,2012,151000,145,0,0,16200
31,4,2017,71000,170,0,0,22500
33,4,2015,121000,155,0,0,14990
51,6,2017,67369,130,0,3,19992
86,2,2018,29860,136,1,12,29880
33,4,2015,60000,150,0,0,19500
59,2,2019,34000,210,1,0,40800
74,3,2008,125000,120,0,0,10000
56,3,2014,106300,165,0,0,17990
47,2,2015,88000,126,0,0,18000
47,2,2014,112000,126,0,0,17000
56,11,2006,205600,127,0,3,11990
18,2,2010,210000,126,0,0,9500
21,6,2016,94010,130,0,0,17760
34,3,2013,132000,150,0,0,17900
34,6,2016,59500,130,0,0,18900
57,11,2016,110250,130,0,0,18500
32,2,2013,207920,146,0,0,17520
45,9,2014,115292,130,0,3,17520
34,1,2008,232000,110,0,0,12000
49,2,2018,29300,136,1,12,32940
44,2,2015,94500,126,1,0,19990
56,12,2010,86000,120,0,0,11500
92,4,2013,41570,150,0,0,12960
63,2,2005,165000,120,0,0,11398
31,2,2016,66500,146,0,3,25000
81,2,2017,70330,146,0,0,26880
7,2,2019,47000,136,0,0,28800
17,6,2017,65398,130,1,3,21588
14,5,2016,50000,136,1,0,27000
27,2,2006,180000,110,0,0,8500
51,2,2011,72000,130,1,0,15490
44,2,2015,100390,150,1,6,26988
16,4,2004,256500,90,0,0,6000
83,11,2014,150000,110,0,3,14500
22,9,2013,64048,130,0,3,16788
77,9,2013,93208,130,0,3,16990
39,3,2012,18300,125,0,0,12900
69,2,2009,259000,120,0,0,6600
80,2,2018,56172,140,1,0,32080
1,3,2015,141396,165,0,3,19800
1,3,2016,37602,165,0,3,27000
1,3,2015,123347,165,0,3,21600
79,2,2007,290000,150,0,0,8500
86,4,2013,190000,125,0,0,5490
79,12,2003,145000,120,0,0,6500
57,11,2015,33600,130,0,0,17990
45,3,2015,95223,165,0,0,22320
34,2,2018,41525,136,0,12,30000
6,6,2016,65000,130,0,0,16500
93,12,2008,217000,130,0,0,6500
38,6,2016,87700,150,0,3,17880
59,2,2000,250000,115,0,0,6500
34,6,2017,73700,130,0,0,19300
34,6,2017,61270,130,0,0,18900
35,2,2018,37500,136,0,3,29400
27,2,2017,82000,150,0,0,26280
18,3,2011,124200,150,0,0,17500
35,11,2018,26469,130,0,6,22990
56,3,2017,60925,130,0,3,23990
88,14,2011,173725,130,0,0,13800
45,5,2017,69800,143,0,12,32280
34,2,2003,300000,90,0,0,5500
54,3,2012,136000,150,0,0,13000
70,2,2012,190000,126,0,3,11500
34,2,2001,183000,105,0,0,7500
13,3,2005,186000,120,0,0,5000
32,2,2012,155463,126,0,3,17999
14,5,2005,250000,156,0,0,9000
32,2,2014,125954,126,0,6,18960
32,2,2012,137025,126,0,3,18360
8,3,2016,108952,130,0,0,18500
18,2,2020,1,140,1,0,37872
66,12,2005,122317,105,0,0,7500
17,6,2020,10,140,0,0,21490
41,2,2011,70000,130,1,3,20160
61,5,2019,35520,143,0,12,35520
25,12,2020,10,130,1,60,32400
13,12,2006,132000,130,0,0,12300
59,2,2000,220000,90,0,0,5500
37,4,2011,132000,115,1,0,11400
69,2,2002,265000,110,0,0,5700
88,11,2014,68700,110,0,0,12800
14,5,2016,55000,136,0,0,26400
62,12,2017,102500,130,0,0,20388
6,3,2021,10,145,1,3,34750
76,3,2020,120,130,1,12,33900
88,11,2018,25346,130,0,0,22500
49,2,2019,19600,140,1,0,32040
62,3,2016,32527,125,0,12,28428
60,3,2021,10,145,0,0,35400
15,3,2012,215300,150,0,0,11760
77,5,2016,86000,140,1,12,23990
78,3,2003,99000,90,0,0,7000
35,2,2011,170000,126,0,0,7900
13,2,2008,144000,126,0,0,13530
51,6,2016,55500,130,0,3,19188
95,6,2014,141000,130,0,0,14800
51,3,2017,43810,130,0,0,25440
69,2,2018,27800,136,0,6,29880
69,3,2017,107000,130,1,6,22440
69,3,2017,32000,130,0,6,26280
69,6,2015,72000,130,0,6,20280
57,5,2008,141000,130,0,0,3500
45,2,2012,99709,126,0,0,21990
91,5,2017,65500,143,0,6,23388
45,2,2013,122853,126,0,0,16990
45,2,2013,153801,126,0,0,19990
13,12,2018,64766,130,1,24,23388
42,8,2019,36000,130,1,12,30000
64,4,2008,109916,140,0,0,16800
35,2,2018,53100,136,0,3,30000
35,6,2021,900,140,0,24,28668
24,2,2013,147000,130,0,0,20280
82,3,2004,194200,120,0,3,12500
44,2,2018,28828,140,1,12,31140
72,11,2015,103000,130,0,3,18600
